iter	Passed	Remaining
0	138	138242
1	143	71365
2	148	49203
3	153	38104
4	157	31330
5	162	26884
6	166	23639
7	169	21058
8	172	18954
9	174	17292
10	177	15941
11	179	14773
12	181	13771
13	182	12869
14	184	12090
15	185	11409
16	186	10812
17	188	10264
18	189	9774
19	190	9342
20	191	8948
21	193	8587
22	194	8246
23	195	7936
24	196	7649
25	197	7380
26	198	7135
27	199	6908
28	200	6697
29	201	6499
30	201	6310
31	202	6132
32	203	5967
33	204	5811
34	205	5667
35	206	5528
36	207	5393
37	208	5265
38	208	5146
39	209	5031
40	210	4921
41	211	4820
42	212	4724
43	213	4630
44	213	4540
45	214	4452
46	215	4368
47	216	4288
48	216	4211
49	217	4136
50	218	4069
51	219	4008
52	220	3948
53	221	3884
54	222	3824
55	223	3767
56	224	3712
57	225	3658
58	226	3605
59	226	3553
60	227	3502
61	228	3454
62	229	3407
63	229	3361
64	230	3316
65	231	3273
66	231	3230
67	232	3191
68	233	3156
69	234	3121
70	235	3084
71	236	3047
72	237	3012
73	238	2980
74	239	2948
75	239	2917
76	240	2886
77	241	2855
78	242	2826
79	243	2799
80	244	2771
81	245	2744
82	245	2713
83	246	2687
84	247	2662
85	248	2640
86	249	2621
87	250	2599
88	251	2576
89	252	2553
90	253	2530
91	254	2508
92	255	2487
93	255	2465
94	256	2444
95	257	2424
96	258	2404
97	259	2385
98	260	2366
99	260	2348
100	261	2331
101	263	2316
102	264	2299
103	264	2283
104	265	2266
105	266	2250
106	267	2234
107	268	2218
108	269	2203
109	270	2187
110	271	2172
111	272	2157
112	273	2142
113	273	2128
114	274	2114
115	275	2100
116	276	2087
117	277	2074
118	278	2062
119	279	2051
120	280	2039
121	281	2025
122	282	2013
123	283	2001
124	284	1989
125	285	1978
126	285	1965
127	286	1953
128	287	1942
129	288	1931
130	289	1919
131	290	1908
132	291	1898
133	292	1889
134	293	1880
135	294	1870
136	295	1860
137	296	1850
138	296	1839
139	297	1829
140	298	1820
141	299	1809
142	300	1800
143	301	1791
144	302	1782
145	303	1773
146	304	1764
147	304	1755
148	305	1746
149	307	1740
150	308	1733
151	309	1725
152	310	1716
153	311	1708
154	311	1700
155	312	1692
156	313	1684
157	314	1676
158	315	1669
159	316	1661
160	317	1652
161	317	1644
162	318	1636
163	319	1629
164	320	1623
165	322	1618
166	323	1611
167	324	1605
168	325	1599
169	326	1594
170	327	1587
171	328	1580
172	329	1573
173	330	1566
174	330	1560
175	331	1554
176	332	1547
177	333	1540
178	334	1534
179	335	1529
180	337	1525
181	337	1518
182	338	1512
183	339	1506
184	340	1501
185	341	1494
186	342	1488
187	343	1482
188	344	1476
189	344	1470
190	345	1465
191	346	1459
192	347	1453
193	348	1447
194	349	1442
195	350	1438
196	351	1433
197	352	1427
198	353	1422
